source_sample_id,eval_sample_id,mesh_size_mm,frame,world_radius_mm,num_world_edges,world_edges_per_node,world_degree_all_mean,world_degree_all_p05,world_degree_all_p50,world_degree_all_p95,world_degree_all_max,world_degree_tube_mean,world_degree_tube_p05,world_degree_tube_p50,world_degree_tube_p95,world_degree_tube_max,world_len_mm_mean,world_len_mm_p05,world_len_mm_p50,world_len_mm_p95,world_len_mm_max,world_zlen_abs_p95,world_zlen_abs_max,world_z_any_abs_gt3_frac,world_raw_outside_train_range_frac,world_len_outside_train_range_frac
15,187,0.8,179,2.0,1058676,13.138361111455838,13.138360977172852,0.0,12.0,37.0,53.0,27.43143081665039,12.0,31.0,45.0,53.0,1.497798204421997,0.7508189082145691,1.618025302886963,1.9348829984664917,1.9999996423721313,3.6451292037963867,5.815720558166504,0.17369431257247925,0.8959039449691772,0.8033373951911926
15,188,1.25,0,2.0,195244,5.900036262540795,5.900036334991455,0.0,7.0,14.0,20.0,9.97262191772461,4.0,10.0,15.0,20.0,1.4508049488067627,0.6256635189056396,1.5258572101593018,1.9564257860183716,1.999979853630066,3.7290523052215576,5.808119773864746,0.2419741451740265,0.8559853434562683,0.6917600631713867
15,188,1.25,45,2.0,180898,5.4665175873322855,5.466517448425293,0.0,6.0,14.0,19.0,9.239860534667969,3.0,9.0,15.0,19.0,1.4348646402359009,0.5983142256736755,1.508717656135559,1.9561961889266968,1.9999974966049194,3.7326529026031494,5.786037921905518,0.24053333699703217,0.84098219871521,0.6926112771034241
15,188,1.25,90,2.0,164606,4.974193158467303,4.974193096160889,0.0,6.0,14.0,18.0,8.407702445983887,0.0,8.0,15.0,18.0,1.430738925933838,0.5996170043945312,1.5111865997314453,1.9574750661849976,1.9999966621398926,3.7267799377441406,5.7918620109558105,0.24449898302555084,0.8471744656562805,0.7035831212997437
15,188,1.25,135,2.0,144866,4.377674362383658,4.377674102783203,0.0,5.0,13.0,19.0,7.399427890777588,0.0,8.0,15.0,19.0,1.4206722974777222,0.5919994115829468,1.4974125623703003,1.9568688869476318,1.9999887943267822,3.7266838550567627,5.7701239585876465,0.2409537136554718,0.8369389772415161,0.6993911862373352
15,188,1.25,179,2.0,123878,3.7434425238728393,3.7434425354003906,0.0,0.0,10.0,18.0,6.327408313751221,0.0,8.0,14.0,18.0,1.4071184396743774,0.5734149813652039,1.4854097366333008,1.9545835256576538,1.9999662637710571,3.7217535972595215,5.726672649383545,0.23894476890563965,0.8442822694778442,0.7081483602523804
128,128,1.0,0,2.0,862050,10.271181593966329,10.271181106567383,0.0,11.0,25.0,33.0,18.52093505859375,11.0,18.0,26.0,33.0,1.5266332626342773,0.6609392762184143,1.6101747751235962,1.9844629764556885,2.0,3.7580368518829346,5.816059112548828,0.34510526061058044,0.8895330429077148,0.7364839315414429
128,128,1.0,45,2.0,799336,9.523954771294784,9.523954391479492,0.0,10.0,25.0,30.0,17.1634464263916,5.0,16.0,26.0,30.0,1.5094021558761597,0.6297070384025574,1.5947990417480469,1.984466552734375,1.9999990463256836,3.7623095512390137,5.8062944412231445,0.34011730551719666,0.8809337019920349,0.7317723631858826
128,128,1.0,90,2.0,720428,8.583779146659676,8.583779335021973,0.0,9.0,24.0,31.0,15.510927200317383,2.0,15.0,26.0,31.0,1.4980549812316895,0.6212937831878662,1.5839675664901733,1.9844512939453125,2.0,3.7655370235443115,5.8055644035339355,0.33790192008018494,0.8786304593086243,0.7264459729194641
128,128,1.0,135,2.0,636248,7.580788523633071,7.580788612365723,0.0,9.0,23.0,30.0,13.75255012512207,2.0,15.0,25.0,30.0,1.4942057132720947,0.6165445446968079,1.5816800594329834,1.9844207763671875,1.9999970197677612,3.767879009246826,5.794164657592773,0.33936136960983276,0.8702644109725952,0.7234286069869995
128,128,1.0,179,2.0,545012,6.493726840543793,6.49372673034668,0.0,2.0,18.0,30.0,11.858753204345703,2.0,14.0,24.0,30.0,1.4847216606140137,0.5902884602546692,1.5822287797927856,1.9833482503890991,1.9999911785125732,3.7728826999664307,5.8057451248168945,0.33790814876556396,0.8736578226089478,0.7361379265785217
128,178,0.8,0,2.0,2318732,17.78905374925199,17.78905487060547,0.0,16.0,45.0,52.0,35.01497268676758,23.0,33.0,46.0,52.0,1.5226099491119385,0.8061680197715759,1.6138314008712769,1.9449371099472046,1.9999995231628418,3.6883602142333984,5.818567752838135,0.1863354593515396,0.9208360314369202,0.7976609468460083
128,178,0.8,45,2.0,2197662,16.86021818851365,16.860218048095703,0.0,15.0,45.0,51.0,33.49917221069336,15.0,33.0,46.0,51.0,1.5146899223327637,0.7994099855422974,1.6138668060302734,1.9464678764343262,1.999998688697815,3.7034244537353516,5.810370922088623,0.1923016458749771,0.9085901379585266,0.7997881770133972
128,178,0.8,90,2.0,2023314,15.522639743452043,15.522640228271484,0.0,14.0,44.0,51.0,31.31633186340332,12.0,32.0,46.0,51.0,1.5112773180007935,0.781555712223053,1.6127169132232666,1.9422831535339355,1.9999972581863403,3.6759026050567627,5.8184123039245605,0.19137315452098846,0.9112949967384338,0.8031664490699768
128,178,0.8,135,2.0,1832494,14.05868994829147,14.058690071105957,0.0,14.0,43.0,52.0,28.92725944519043,12.0,31.0,46.0,52.0,1.511216163635254,0.7493447065353394,1.6238491535186768,1.9456326961517334,1.9999980926513672,3.6872475147247314,5.813493251800537,0.19363337755203247,0.9123958945274353,0.8036926984786987
128,178,0.8,179,2.0,1610710,12.357187792490755,12.35718822479248,0.0,12.0,35.0,52.0,26.15049171447754,12.0,30.0,44.0,52.0,1.5104572772979736,0.6877540946006775,1.6273068189620972,1.948281168937683,2.0,3.6948740482330322,5.778960704803467,0.20787106454372406,0.9233592748641968,0.812616765499115
128,179,1.25,0,2.0,335446,6.237142538395746,6.237143039703369,0.0,6.0,15.0,21.0,10.195926666259766,5.0,9.0,15.0,21.0,1.492365837097168,0.2657017111778259,1.5835033655166626,1.9633773565292358,1.9999985694885254,4.540068626403809,5.812368869781494,0.31342750787734985,0.8971697688102722,0.7026764750480652
128,179,1.25,45,2.0,280344,5.212599010821465,5.212599277496338,0.0,6.0,12.0,18.0,8.52109432220459,2.0,9.0,14.0,18.0,1.4224681854248047,0.6110737919807434,1.4081168174743652,1.9210972785949707,1.9999247789382935,3.62605881690979,5.722257137298584,0.22691407799720764,0.8553705215454102,0.5912664532661438
128,179,1.25,90,2.0,248340,4.617530028634116,4.617530345916748,0.0,5.0,11.0,16.0,7.548328399658203,0.0,9.0,13.0,16.0,1.4012362957000732,0.4603422284126282,1.4673182964324951,1.9409737586975098,1.9999990463256836,3.6967060565948486,5.719162464141846,0.21178221702575684,0.9007408618927002,0.6667713522911072
128,179,1.25,135,2.0,218116,4.055557621509055,4.055557727813721,0.0,4.0,11.0,18.0,6.629665374755859,0.0,8.0,12.0,18.0,1.4001567363739014,0.38162046670913696,1.4819424152374268,1.9389710426330566,1.9999852180480957,3.9804189205169678,5.749109745025635,0.21200644969940186,0.8563883304595947,0.6819857358932495
128,179,1.25,179,2.0,193884,3.6049979547060356,3.6049981117248535,0.0,0.0,10.0,18.0,5.893130779266357,0.0,7.0,13.0,18.0,1.4116549491882324,0.38616418838500977,1.4890114068984985,1.9685732126235962,1.999999761581421,3.958482265472412,5.689207553863525,0.2571537494659424,0.8923170566558838,0.6846155524253845
